Section676,Section798,Section715,Section835,Section714,Section719,Section718,Section3817,Section3934,Section3813,Section1235,Section3776,Section3778,Section791,Section3410,Section4586,Section394,Section3098,Section674,Section4186,Section397,Section4463,Section1230,Section700,Section3270,Section789,Section786,Section308,Section306,Section708,Section4634,Section3787,Section1401,Section781,Section3783,Section382,Section4473,Section3780,Section785,Section4233,Section540,Section783,Section975,Section852,Section698,Section732,Section737,Section738,Section4092,Section3836,Section3838,Section4129,Section1257,Section1132,Section4127,Section4126,Section3670,Section333,Section697,Section1250,Section730,Section695,Section970,Section3291,Section4141,Section1270,Section325,Section3847,Section3843,Section4139,Section4532,Section4135,Section4137,Section4016,Section3840,Section1421,Section322,Section4131,Section2350,Section4133,Section1281,Section754,Section999,Section758,Section4669,Section351,Section3695,Section4025,Section3175,Section4142,Section752,Section477,Section4145,Section349,Section1292,Section748,Section3748,Section3622,Section3985,Section3746,Section1842,Section583,Section740,Section584,Section1284,Section1285,Section778,Section379,Section775,Section776,Section779,Section537,Section1219,Section3915,Section4327,Section3757,Section4724,Section2782,Section1176,Section3750,Section4047,Section3753,Section4049,Section1212,Section652,Section2261,Section1172,Section2262,Section774,Section1294,Section4288,Section496,Section3353,Section2781,Section4166,Section768,Section3807,Section3806,Section3927,Section3644,Section4334,Section363,Section3367,Section367,Section760,Section640
69,94,30,77,94,82,30,11,10,11,94,11,10,36,14,14,20,79,20,20,94,33,94,35,20,20,94,54,94,40,11,11,94,27,12,40,15,7,41,44,30,69,21,63,14,90,94,54,20,20,8,11,16,40,22,11,20,94,33,8,32,18,41,19,11,52,94,20,20,11,20,11,20,89,11,20,20,20,24,19,8,48,72,94,86,14,19,20,59,16,94,92,20,14,20,94,15,27,18,20,9,47,30,14,36,13,52,17,10,96,88,29,26,20,93,10,20,94,37,11,23,11,19,62,94,19,8,19,11,94,20,31,10,56,20,91,11,11,94,19,21,20,7,94,59,17
94,63,44,94,55,69,94,10,20,11,74,11,11,36,20,20,20,31,20,20,94,48,41,17,20,21,94,54,94,92,10,11,18,94,11,33,57,11,52,94,34,37,13,94,12,74,23,54,20,20,11,11,25,33,22,11,20,30,94,11,47,20,90,19,6,47,94,20,20,11,20,11,20,25,11,20,20,20,24,20,10,94,88,94,43,10,20,20,94,20,57,93,20,17,31,94,14,94,38,10,42,36,27,94,36,94,94,20,15,57,29,15,45,20,94,11,20,17,32,8,23,11,19,53,94,16,41,20,44,24,20,94,19,52,21,51,10,11,94,17,15,20,8,94,67,20
69,94,42,72,46,71,94,11,10,11,94,11,11,36,20,19,20,36,20,20,94,33,19,14,20,17,94,35,12,94,12,11,15,23,12,40,4,8,44,94,30,94,15,63,13,53,24,54,20,20,8,11,25,26,22,11,19,29,38,5,94,20,46,19,6,60,25,19,20,11,20,11,20,94,10,20,11,19,7,17,10,94,73,83,86,23,20,20,44,3,32,70,20,12,21,18,3,44,38,14,21,54,16,12,22,13,56,19,11,76,51,23,15,20,29,9,20,14,29,11,23,10,16,66,95,94,39,20,13,39,20,27,18,41,19,40,11,11,94,20,19,20,7,94,65,20
70,17,64,73,94,50,94,11,20,11,93,11,11,36,20,20,20,48,20,20,94,17,32,15,20,20,73,54,18,94,12,11,39,29,12,40,22,11,50,20,18,94,21,68,12,48,22,54,20,20,8,11,19,14,22,11,20,30,27,5,31,15,60,19,11,13,60,16,20,9,19,11,20,94,10,19,20,18,8,20,10,46,46,90,86,6,20,20,27,13,94,88,19,11,16,20,12,27,38,20,27,54,30,10,36,10,27,20,28,90,61,21,41,20,52,7,20,94,18,9,20,11,14,57,94,9,42,19,44,31,20,27,11,28,20,52,14,11,94,19,20,20,28,94,27,19
47,60,94,59,29,84,9,11,20,11,88,11,11,36,20,16,22,73,20,20,94,13,33,47,19,20,32,54,94,75,13,11,21,94,11,29,20,11,26,36,30,94,15,58,13,90,21,49,20,20,8,11,26,14,22,10,20,29,26,5,48,15,50,19,11,52,94,20,20,9,19,9,20,26,10,20,20,10,24,13,28,50,48,83,33,3,19,20,35,18,57,93,20,11,44,94,12,98,38,20,42,33,29,8,36,94,46,9,12,53,94,18,26,20,62,9,17,94,33,8,15,9,15,70,95,13,54,19,44,28,21,41,8,17,20,62,9,11,94,20,13,20,10,94,61,20
94,63,93,78,31,83,29,11,20,11,89,11,11,36,15,20,20,86,20,20,60,25,20,42,19,19,94,54,94,91,11,11,24,22,11,29,16,11,94,94,11,94,18,63,8,90,22,54,20,17,8,11,23,28,22,11,20,27,32,5,22,17,48,18,11,61,94,18,20,11,20,11,20,94,10,22,20,20,24,20,7,94,52,52,31,3,20,20,52,18,61,69,19,11,22,94,20,94,38,19,30,49,15,13,36,94,54,14,16,76,44,19,24,20,37,8,20,94,32,11,22,9,19,68,94,16,38,20,10,28,18,26,10,20,19,28,10,11,94,20,17,20,9,94,30,20
84,94,47,69,28,89,94,11,10,11,94,10,11,27,20,20,20,86,20,20,53,20,94,43,19,20,94,54,18,94,12,11,21,24,12,18,5,11,31,11,23,77,23,63,11,90,94,54,20,20,11,11,30,20,22,11,20,29,26,5,43,19,47,18,8,8,89,19,20,11,20,10,20,94,11,17,20,20,13,20,14,94,18,94,86,6,19,20,42,19,56,94,19,12,38,20,14,92,38,18,22,51,40,8,36,11,25,20,16,90,94,19,29,20,95,9,19,94,41,11,11,11,11,65,92,8,63,17,11,41,20,94,10,23,20,33,11,11,24,19,19,20,17,94,31,19
70,54,94,70,29,91,22,11,10,11,94,10,11,27,14,10,20,83,20,20,94,23,23,48,18,21,94,54,8,92,15,11,23,94,12,40,16,11,36,94,40,74,27,63,6,60,21,45,18,20,8,11,24,34,22,11,19,29,32,7,54,17,63,16,6,17,94,20,20,9,19,11,20,81,11,20,10,20,9,20,8,94,40,84,45,3,20,20,94,19,50,94,20,12,47,17,15,29,38,14,22,51,40,13,36,13,51,19,10,94,64,33,23,20,22,11,19,94,27,11,23,11,20,64,94,94,64,20,11,28,17,28,20,55,20,57,12,11,94,20,12,20,7,94,89,20
69,49,86,70,27,45,94,11,10,11,44,11,11,36,20,9,20,82,20,20,65,48,15,23,20,20,75,54,94,68,11,11,37,29,12,30,13,8,49,41,16,69,18,79,12,92,94,54,20,19,11,11,35,20,22,11,20,94,94,6,40,20,55,17,6,60,94,18,20,11,20,11,20,94,9,20,20,19,24,19,11,94,63,51,86,21,20,20,55,18,65,94,20,17,22,21,17,102,38,10,24,44,29,13,36,13,56,20,16,85,46,10,4,20,33,9,19,94,36,11,9,10,13,61,95,17,31,20,12,25,20,42,17,37,20,34,8,11,94,19,10,20,18,94,18,19
71,23,48,80,94,59,32,11,4,11,94,11,11,36,15,20,20,40,20,20,94,29,57,16,20,18,94,54,8,94,12,11,25,19,12,27,11,11,41,94,30,94,19,62,7,89,24,54,20,20,8,6,14,42,22,11,20,26,32,5,36,20,94,12,11,43,94,19,20,11,8,9,20,70,10,20,12,20,5,18,9,49,63,94,86,11,19,20,29,14,94,95,20,13,14,19,9,92,38,20,22,20,29,8,36,13,35,20,20,93,56,27,14,15,23,9,20,25,33,8,19,11,20,63,94,12,57,19,11,30,20,42,12,19,20,76,13,11,94,10,17,11,12,94,73,20
73,8,22,72,28,74,30,11,10,11,94,11,11,36,14,11,20,86,20,20,94,35,94,29,19,28,94,54,94,92,27,11,23,37,10,32,5,11,44,61,33,60,22,63,10,90,23,49,20,19,11,9,25,33,22,12,20,29,37,7,28,19,57,15,6,94,94,19,20,11,20,8,20,94,9,21,20,15,24,17,10,44,87,84,45,22,19,20,77,18,18,91,18,18,10,94,10,41,38,10,22,11,30,8,36,11,33,20,18,51,60,23,19,8,61,9,19,94,46,11,23,10,14,55,99,14,49,19,11,17,20,32,17,36,19,42,10,11,94,19,20,20,18,94,58,20
52,63,68,72,94,83,29,11,20,11,94,11,11,36,20,20,20,85,19,19,94,32,58,42,20,20,94,54,94,94,11,11,14,40,12,40,8,11,39,94,23,77,27,64,14,90,22,50,20,19,11,11,28,45,22,11,20,29,38,20,29,20,58,19,7,32,94,20,20,11,19,11,20,94,11,20,20,20,24,20,9,43,48,69,46,22,20,20,51,9,94,93,20,19,30,21,3,46,38,20,25,43,15,11,36,94,56,19,11,69,56,21,24,16,58,11,20,23,38,11,28,11,20,61,94,11,44,16,44,26,19,36,17,29,20,97,10,11,94,19,19,11,7,94,49,20
94,37,60,69,29,73,94,10,9,11,95,11,11,36,20,20,20,46,20,20,66,30,31,31,20,19,94,54,94,94,12,11,9,26,12,40,57,11,47,40,17,94,17,63,10,37,17,49,20,20,8,11,26,36,22,11,20,28,94,6,35,16,53,19,6,44,94,18,20,11,20,11,20,70,11,20,20,20,6,20,9,43,83,56,44,23,20,20,60,20,94,69,20,14,29,94,14,94,38,10,24,44,28,13,36,13,94,20,11,88,41,23,31,7,73,9,19,94,33,11,8,11,19,61,94,15,46,18,44,31,17,29,12,44,20,55,12,11,94,20,20,20,6,94,28,20
94,94,52,85,30,57,94,11,20,11,94,11,11,36,20,20,20,86,20,20,94,32,94,37,20,20,94,54,8,94,11,11,17,94,11,32,12,7,43,61,34,94,33,64,12,90,26,45,20,20,11,11,31,27,22,11,20,29,33,5,94,19,43,19,11,44,94,20,20,11,20,11,20,66,11,20,10,20,5,21,9,94,52,94,35,9,20,20,34,19,10,94,20,15,94,21,20,94,38,20,23,56,40,9,36,9,50,20,14,93,94,31,26,20,85,11,19,25,36,11,23,11,20,63,94,12,8,20,11,94,15,94,19,46,20,38,11,11,94,20,17,20,8,94,71,20
94,63,33,50,94,88,94,11,7,9,82,11,11,36,15,20,20,92,20,20,94,35,43,38,15,17,94,54,15,91,11,11,25,39,12,40,22,9,46,94,28,76,15,64,12,41,22,49,20,20,8,11,23,29,22,11,20,30,41,10,94,19,26,20,8,51,75,19,20,11,20,11,20,11,11,20,11,19,13,19,10,46,89,29,40,6,20,20,40,20,10,71,19,14,33,6,14,94,38,20,24,57,29,7,36,11,94,20,15,94,27,24,26,20,62,9,20,94,35,11,23,9,10,75,94,31,46,19,44,22,20,35,17,43,20,41,10,10,16,19,20,20,8,94,61,20
74,25,53,67,55,73,28,11,20,11,86,11,10,36,15,14,20,83,20,20,94,33,40,36,20,21,76,54,12,54,10,11,21,32,10,34,14,10,40,94,28,63,21,72,11,32,21,48,20,20,8,10,3,34,22,11,20,29,33,10,94,20,37,17,11,62,59,20,20,11,15,11,20,94,11,20,20,19,3,19,7,94,82,94,31,15,20,20,53,16,56,94,20,15,18,3,12,44,38,20,30,30,40,24,36,94,94,21,12,96,52,29,11,20,29,11,19,25,36,9,5,9,19,64,98,9,33,13,11,26,19,40,13,23,20,45,14,11,94,19,20,8,11,94,58,20
94,64,93,71,32,91,29,8,9,11,87,11,11,27,15,20,20,89,20,20,94,26,58,35,20,18,94,54,94,90,12,11,6,38,11,33,57,11,28,94,8,70,23,60,14,82,22,49,16,20,11,11,37,27,22,11,20,30,35,5,40,19,92,19,4,94,94,17,20,11,20,11,20,94,10,20,20,20,12,17,9,48,64,94,64,23,20,20,58,18,10,68,19,17,19,94,3,94,38,10,21,43,29,10,36,13,53,20,15,90,88,13,22,20,21,8,19,94,33,11,22,11,15,56,94,27,68,20,44,94,20,94,17,38,20,43,8,11,94,19,19,20,9,94,35,20
70,94,93,69,94,84,28,11,10,11,94,11,11,36,20,20,20,29,20,20,94,30,17,24,19,20,94,54,8,94,13,11,16,32,11,40,17,11,41,94,34,94,22,63,12,85,25,54,20,20,11,11,25,34,22,11,20,29,34,4,48,14,41,18,11,62,94,18,20,11,20,11,20,94,11,12,10,19,7,19,15,44,86,52,23,11,20,20,58,13,26,76,20,15,30,19,20,44,38,14,22,32,23,20,36,13,94,20,28,33,59,26,8,19,69,8,20,94,32,11,28,6,15,62,99,10,56,15,44,28,19,32,17,45,20,56,12,11,94,20,12,10,6,94,70,20
72,94,52,29,28,62,94,11,10,11,94,11,11,36,20,16,20,86,20,20,94,33,8,29,19,18,73,54,8,74,11,11,18,94,12,30,8,9,48,94,17,36,15,66,11,91,94,47,9,20,8,11,18,14,22,11,20,29,33,5,39,17,30,19,6,94,94,14,20,10,20,9,20,94,11,20,10,18,24,15,9,46,57,62,22,21,20,20,19,19,94,93,20,13,17,19,13,94,38,15,24,32,24,12,36,11,54,20,11,58,43,18,10,19,28,8,19,24,37,9,21,11,13,62,35,15,12,19,44,39,19,31,18,45,20,35,11,11,16,19,20,20,7,94,34,19
69,64,73,73,61,48,13,11,20,11,84,11,11,17,9,20,20,77,20,19,94,28,19,25,20,17,74,54,94,96,14,11,19,29,10,40,57,11,47,94,30,38,29,73,13,91,24,49,20,20,11,11,28,33,22,11,20,28,94,10,32,19,75,19,6,60,94,20,20,11,20,11,20,94,11,20,20,20,8,9,10,45,85,70,86,21,20,20,56,20,58,62,20,14,24,21,12,83,38,14,22,53,31,6,36,13,34,20,11,88,55,28,12,15,22,11,19,14,36,8,23,11,19,61,99,13,58,19,10,29,19,31,20,43,19,34,13,11,94,19,15,20,7,94,55,20
94,46,94,79,38,68,30,11,4,11,29,11,11,36,20,20,19,83,20,20,94,28,41,43,20,20,94,54,94,94,13,11,21,94,10,28,16,9,46,60,20,94,15,63,10,63,94,54,20,20,8,10,36,31,22,11,20,29,34,11,36,14,94,15,11,44,94,19,20,10,19,11,20,84,11,20,20,20,14,18,9,46,89,62,86,19,19,20,94,19,94,72,23,9,19,94,20,94,38,20,17,39,22,10,36,12,37,20,12,51,94,28,37,20,56,9,19,14,41,11,23,11,18,59,94,14,19,20,14,34,20,36,5,13,20,37,11,11,94,20,20,20,7,94,51,20
94,64,94,62,29,82,33,11,8,11,94,11,10,27,14,20,20,86,20,19,94,27,94,94,18,16,94,54,94,94,13,9,27,94,11,33,57,12,94,94,12,94,20,59,13,90,23,54,20,20,8,11,29,33,22,11,20,32,94,7,30,19,94,16,11,53,94,19,20,11,20,10,20,91,10,20,20,20,24,19,4,46,49,26,86,21,20,20,33,20,94,93,20,11,27,94,20,94,38,20,18,32,29,11,36,11,36,20,16,53,94,19,94,20,94,8,19,94,38,11,23,11,19,59,94,16,40,20,11,32,19,39,15,45,20,94,10,11,94,20,18,20,18,94,34,20
94,64,30,69,94,71,94,11,20,11,96,11,11,36,14,16,20,86,20,20,94,35,42,45,20,21,94,54,11,94,13,11,39,40,11,16,25,11,47,62,35,55,23,64,9,91,22,48,20,20,8,11,24,33,22,9,20,94,43,5,56,20,59,18,8,34,64,18,20,11,20,11,20,37,11,20,10,19,7,17,8,94,71,94,86,2,20,20,40,19,94,94,21,15,29,19,14,94,38,20,30,44,40,10,36,94,65,20,10,83,88,31,26,20,61,9,20,94,32,11,20,11,19,57,94,12,46,15,11,23,20,25,20,8,20,38,12,11,94,19,20,20,9,94,67,17
72,46,27,94,68,86,28,11,20,11,84,11,11,36,14,20,20,80,20,20,94,34,34,45,18,19,94,54,8,94,12,11,14,37,10,34,8,11,41,94,34,94,12,94,10,92,12,49,20,19,8,11,21,33,22,11,20,29,33,9,16,20,60,18,11,60,94,19,20,11,20,11,20,94,11,19,9,20,13,20,8,94,64,94,28,3,20,20,79,19,32,68,19,11,24,18,20,43,38,17,22,34,28,94,36,10,94,20,14,84,44,31,23,4,57,9,20,94,39,11,22,11,19,77,92,14,55,12,11,29,20,24,12,11,19,62,9,11,94,19,16,20,7,94,68,20
94,32,60,77,38,87,94,11,20,11,94,11,10,27,20,18,15,79,20,20,94,28,94,34,20,28,94,54,8,38,15,11,17,94,12,32,13,10,45,63,29,67,24,64,14,94,5,54,20,20,11,11,38,35,22,11,20,29,33,7,41,19,35,19,6,94,94,19,20,11,20,11,20,94,11,20,11,20,17,20,7,94,41,94,86,8,20,20,33,18,94,94,20,16,27,19,12,94,30,10,20,45,40,9,36,13,53,11,15,98,94,29,19,16,94,8,20,15,49,11,24,11,18,94,94,17,45,19,14,37,19,25,16,44,19,63,11,11,94,20,20,20,12,94,56,20
70,60,49,94,35,62,24,10,2,6,73,11,11,36,20,20,20,81,20,20,94,34,48,35,19,19,94,36,11,93,12,11,27,13,12,40,6,9,48,62,33,55,18,94,16,92,94,54,18,20,8,11,27,28,22,11,20,94,94,4,40,16,94,19,6,44,72,20,20,11,20,11,20,26,11,20,20,22,9,20,11,46,55,83,86,23,20,20,25,13,18,65,20,13,19,21,5,41,38,13,23,40,29,7,36,13,94,16,11,49,46,33,21,15,61,8,19,25,37,11,20,11,15,63,59,13,12,20,44,26,19,37,13,42,20,53,13,11,94,20,20,20,7,94,76,20
70,94,66,47,19,39,31,11,9,6,31,9,10,36,20,8,20,36,20,20,94,14,32,41,20,21,58,54,12,94,10,11,18,20,9,20,57,11,35,94,13,94,14,66,10,73,26,54,20,20,11,11,21,23,22,11,20,27,32,6,37,19,33,19,6,94,94,16,20,10,16,11,20,95,11,19,10,11,7,20,10,94,41,94,86,9,19,20,64,11,94,46,20,15,18,13,5,44,31,11,14,48,40,6,36,13,48,20,15,46,25,18,7,20,58,8,19,25,35,5,14,8,19,60,95,29,58,20,44,94,20,94,17,33,19,31,12,11,94,19,13,20,9,94,32,20
69,25,44,80,53,31,28,11,8,4,73,11,10,36,14,18,20,73,20,20,94,32,31,27,20,20,94,54,94,94,11,11,94,37,12,34,8,6,45,61,11,72,32,63,14,44,10,54,20,20,9,10,36,28,22,11,20,94,33,8,40,20,56,19,6,94,94,20,20,11,20,11,20,94,9,16,20,19,3,20,10,94,80,60,86,12,20,20,51,18,94,22,20,12,29,94,15,97,32,14,22,31,18,9,36,12,49,20,19,81,88,8,21,17,18,9,20,17,32,11,19,11,18,76,84,20,22,18,11,28,20,35,14,21,20,54,11,11,94,19,20,20,17,16,11,19
71,94,93,75,28,52,94,10,3,11,94,11,11,36,15,20,20,82,20,20,94,32,94,30,20,20,94,54,8,92,12,11,19,32,8,31,57,8,44,61,26,76,24,64,11,92,26,54,20,20,11,11,94,26,22,11,20,29,36,5,94,15,57,19,5,94,94,19,20,11,20,11,20,94,10,19,11,20,17,20,8,44,84,85,26,12,20,20,61,18,57,67,20,12,16,19,14,46,31,10,21,94,29,23,22,13,94,7,12,94,64,17,23,20,52,11,19,21,35,11,28,11,20,69,94,15,27,20,11,43,20,37,20,50,20,49,12,11,94,19,15,10,6,10,60,20
94,94,94,42,94,87,31,11,10,11,94,11,9,36,14,20,20,80,20,20,94,25,94,33,20,28,94,54,94,94,27,11,20,94,11,23,9,8,22,62,16,94,27,64,9,88,25,49,20,20,9,11,26,32,22,11,20,28,34,5,53,18,44,19,6,34,94,19,20,10,19,11,20,94,10,20,20,20,4,20,10,94,65,94,27,7,20,20,31,14,10,70,20,12,37,94,20,94,38,14,22,42,14,8,22,13,26,15,10,43,52,23,21,20,94,11,20,25,37,11,28,11,14,68,94,20,51,20,11,39,19,28,16,45,19,35,11,11,94,20,20,10,6,94,38,20
94,65,94,76,36,73,94,8,20,11,48,11,11,29,15,5,20,56,20,20,94,27,19,19,20,20,75,54,94,93,14,11,14,94,11,40,57,11,94,94,23,68,18,69,5,78,24,49,20,19,8,11,27,33,22,11,20,94,94,6,42,19,68,19,6,40,94,15,20,11,20,8,20,54,9,20,20,20,18,18,8,23,72,22,86,6,20,20,31,18,94,66,20,11,37,94,13,94,38,20,23,48,27,13,36,11,49,20,10,40,51,29,8,20,38,9,19,17,33,9,8,11,13,62,94,10,40,17,44,32,17,31,10,26,20,59,10,11,24,20,20,20,6,20,55,19
69,63,49,94,94,90,17,10,10,9,94,11,11,24,14,13,20,63,12,18,94,38,57,31,19,21,94,54,94,94,12,10,15,26,10,33,14,8,45,94,35,94,18,94,13,94,19,54,20,14,11,11,26,47,22,11,20,28,33,10,24,14,57,19,11,44,94,20,20,11,20,10,20,31,11,18,20,19,6,20,9,39,87,72,86,4,19,20,44,18,62,43,20,12,21,94,20,95,38,10,24,33,20,9,22,13,94,20,18,83,32,32,24,20,63,9,20,94,23,11,23,11,20,48,97,32,20,20,11,16,19,13,13,40,16,90,11,11,94,19,13,20,17,94,69,19
45,47,26,70,36,86,94,11,9,5,94,11,11,26,14,20,20,79,20,20,94,34,94,39,20,20,94,54,94,93,13,11,18,16,12,40,10,11,43,61,28,69,13,63,11,90,12,44,20,20,8,11,94,38,22,11,20,29,34,4,94,20,43,20,6,94,94,19,20,11,20,11,20,94,11,20,20,21,7,19,15,94,91,94,54,21,20,20,35,8,54,26,12,14,22,94,14,34,38,15,22,56,40,9,36,13,57,20,28,94,94,28,23,19,94,8,20,94,38,11,28,11,18,65,79,21,56,20,11,31,20,24,20,57,20,77,12,11,94,19,18,20,28,94,77,20
